TA,專案,成效,興趣,類型
28-55 / 北斗田尾 / 農業園藝房產,羣昱馥昕2,可,"28-55 / 北斗田尾 / 農業園藝房產
-田尾鳳凰花園（+5 公里）, 進興園藝（+5 公里）, 正實親子農場（+5 公里）
-永續農業（農業） 、農業機械（農業） 、農業科學、田地 (農業) 、農企業（農業） 、肥料（農業） 、園藝（農業） 、插花、植物（植物與花卉） 、花卉（植物與花卉） 、樹（植物與花卉） 、生物技術、溫室、土壤、灌溉、景觀設計（園藝） 或 591房屋交易網, 行業類別：農、林、漁業
0204
-田尾鄉農會（+5 公里）, 田尾富農路（+5 公里）, 正實親子農場（+5 公里）
-農企業（農業） 、永續農業（農業） 、灌溉、生物技術、農業機械（農業） 、 591房屋交易網、花卉（植物與花卉） 、溫室、肥料（農業） 、園藝（農業） 、田地 (農業) 、土壤、登山（爬山） 、露營（戶外活動） 、觀鳥、健行和露營 (戶外活動) 或批發（零售）, 行業類別：農、林、漁業",訊息
30-55 / 北區東區 / 藝術設計業,LUCE VIVA,差,"30-55 / 北區東區 / 藝術設計業
-大魯閣湳雅廣場（+3 公里）, 遠東巨城購物中心（+3 公里）
-室內設計（設計） 、北歐風設計（建築） 、住家翻新 (住家修繕) 、設計（設計） 、室內設計雜誌（媒體刊物） 、時尚設計（設計） 、平面設計（視覺藝術） 、工業設計、網站設計（網站） 、裝飾藝術（視覺藝術） 、時尚配件（飾品配件） 、美術（視覺藝術） 、美學（哲學） 、 Adobe InDesign 、 Adobe Illustrator 、計算機輔助設計或 LifeStyle Home",名單
30-60 / 竹北湖口 / 精品房產,昌禾大苑首席,可,"30-60 / 竹北湖口 / 精品房產
-竹北高鐵（+5 公里）, 新豐高爾夫球場（+5 公里）
-精品店（零售業者） 、高淨值人士（商業與財務） 、豪奢生活方式（網站） 、商務艙（航空旅行） 、豪華轎車（交通工具） 、企業家（商業與財務） 、女性精品服飾零售商 (零售) 、高級訂製時裝（服飾） 、排屋、連棟住宅（建築） 、別墅（住宿） 、私人銀行服務、路易威登（時尚品牌） 、愛馬仕（服飾） 、機場貴賓室或高爾夫球（體育運動）
0120
+Boutique hotel 、精品 (生活風格內容) 、遊艇（船舶） 、天文學或度假（社會觀念）",名單
28-55 / 草屯霧峰大里 / 儲蓄小資,水琉璃,差,"28-55 / 草屯霧峰大里 / 儲蓄小資
-霧峰健體中心（+5 公里） ; 大里一交流道， Taiwankou, T'Ai-Wan, Taiwan（+5 公里） Changhua; 草屯炎峰國小（+5 公里）
-大創百貨、買一送一 (行銷) 、自己動手做（DIY） 、折扣卡 (優惠券、折扣和購物回饋) 、儲蓄（銀行業） 、個人理財（銀行業） 、隨選影片 (影片串流服務) 、製造生產服務和組織 (製造業) 、技術員、上班族（流行文化） 、輪班工作制（商業與財務） 、房屋油漆工和裝修師 (興建和維修) 、聯結車（交通工具） 、淘寶網或量販店（食品零售業者）",訊息
28-55 / 彰化市 / 餐廳影音網購,坤辰師大苑,差,"28-55 / 彰化市 / 餐廳影音網購
-彰化車站（+6 公里）
-速食餐廳（餐飲） 、韓式料理（美食和餐飲） 、日本料理（美食和餐飲） 、休閒餐廳 (餐廳) 、韓國電視劇（電視節目） 、綜藝電視節目 (電視節目) 、 YouTube（串流服務） 、 Instagram（社群媒體） 、愛奇藝、 Spotify（串流服務） 、鮭魚、網路購物（零售） 、電子商務（零售） 、 momo購物網、行動應用程式（軟體） 或熱門話題",名單
28-55 / 東區 / 育兒美食,LUCE VIVA,差,"28-55 / 東區 / 育兒美食
-遠東巨城購物中心（+5 公里）
-親子教育（兒童和親子教育） 、家庭（社會觀念） 、教養方式 (兒童和親子教育) 、教育資源 (教育) 、基本英語、宮崎駿、樂高（玩具） 、早午餐（美食和餐飲） 、燒牛肉、鮭魚、氣泡酒 (葡萄酒) 、食品媒體和內容 (食物和飲品) 、美食家（美食和餐飲） 、兒童活動 (興趣和休閒活動) 、幼兒照護（兒童和親子教育） 或育兒雜誌 (媒體刊物)",名單
28-60 / 基地+6K / 純房產,LUCE VIVA,優,"28-60 / 基地+6K / 純房產
-Windy City Pizza 風城披薩（+6 公里）
-591房屋交易網、房地產（產業） 、房屋廣告和入口網站 (網站) 、住宅房地產 (房地產) 或首次購房者（房地產）",名單
"28-50 / 竹科 / 金融房產投資
",LUCE VIVA,可,"28-50 / 竹科 / 金融房產投資
-新竹科學園區（+5 公里）
-股市指數 (投資) 、證券交易所（投資） 、財務規劃（投資） 、技術分析 (商業和金融業) 、市場趨勢 (商業和金融業) 、納斯達克100指數、房地產投資（投資） 、黃金（金屬與礦物） 或數位貨幣（貨幣）
0112
+外匯市場（貨幣） 、銀 (金屬、礦物和採礦) 、共同基金 (投資) 、股份 (金融) 或一般保險 (保險)",名單
30-60 / 竹北東區 / 科技新貴,昌禾大苑首席,差,"30-60 / 竹北東區 / 科技新貴
-關新公園（+4 公里）, 竹北高鐵（+5 公里）, 關埔特區（+4 公里）
-連棟住宅（建築） 、精品店（零售業者） 、排屋、高等教育（教育） 、別墅（住宿） 、住宅區（房地產） 、智慧型手錶（消費電子產品） 、 AI 、信用卡（借貸） 、大數據 (科學) 、電動車（交通工具） 、特斯拉S型、 BMW i 或智慧科技 (消費電子產品)",名單
30-60 / 沙鹿+8K / 工業置產,佳瓚大讚,差,"30-60 / 沙鹿+8K / 工業置產
-沙鹿國小（+8 公里）
-製造生產服務和組織 (製造業) 、食品產業、化學工業、製造業（產業） 、紡織品、投資（商業與財務） 、房地產（產業） 、投資報酬率（投資） 、批發（零售） 、新聞媒體（新聞服務） 、時事（政治） 、網路購物（零售） 或個人理財（銀行業）
0115
-沙鹿國小（+4 公里）, 東海藝術商圈（+3 公里）",名單
30-60 / 沙鹿南屯 / 五金日用品,華偉知見,差,"30-60 / 沙鹿南屯 / 五金日用品
-台中工業區（+3 公里）, 沙鹿火車站（+5 公里）, 東海藝術商圈（+3 公里）
-五金行（零售業者） 、手動工具（工業材料和設備） 、居家裝修（家居和園藝用品） 、工具箱、超市（食品零售業者） 、量販店（食品零售業者） 、生活用品（家居和園藝用品） 、優惠券（優惠券和折扣） 、買一送一 (行銷) 、住家修繕（居家裝修） 、家務（家居和園藝用品） 、 UberEATS 、乳製品 (乳製品) 或啤酒（酒精飲料）",訊息
"28-55 / 東區北區洲際 / 年輕夜生活
",原潮APT,差,"28-55 / 東區北區洲際 / 年輕夜生活
-洲際棒球場（+3 公里）, 中友百貨（+3 公里）, 科博館（+3 公里）, 精武車站（+3 公里）
-夜生活 (酒吧、俱樂部和夜生活) 、卡拉OK 、舞廳（音樂） 、派對（活動） 、酒館、酒吧 (酒吧、俱樂部和夜生活) 、生啤酒 (啤酒) 、休閒餐廳 (餐廳) 、電子音樂（音樂） 、飛鏢、保齡球、撞球、夜店（酒吧、俱樂部與夜生活） 、 LINE 、旅行社和預訂 (旅遊觀光業) 、網路聊天、網路購物（零售） 或社群媒體（網路媒體）",名單
28-55 / 北屯太平潭子 / 傳產加工業,原潮APT,差,"28-55 / 北屯太平潭子 / 傳產加工業
-太平區環太東路（+3 公里）, 太原車站（+3 公里）, 潭子加工出口區（+3 公里）, 頭家厝菜市場（+3 公里）
-工廠（製造業） 、農業機械（農業） 、金屬加工（建築業） 、重型設備（工業材料和設備） 、建築業（產業） 、挖土機、不鏽鋼、一般保險 (保險) 或工作坊（製造業）、行業類別：中型企業對企業（B2B）企業員工（200 - 500 名員工） 、小型企業對企業（B2B）企業員工（10-200 名員工） 或製造",名單
28-55 / 北屯太平潭子 / 外語藝文教育,原潮APT,差,"28-55 / 北屯太平潭子 / 外語藝文教育
-太平區環太東路（+3 公里）, 太原車站（+3 公里）, 潭子加工出口區（+3 公里）, 頭家厝菜市場（+3 公里）
-藝術和音樂（藝術） 、咖啡廳（咖啡） 、以英語為第二語言或外語、語言教育、樂器（樂器） 、繪畫（視覺藝術） 、學習（教育） 、課程（教育） 、教育資源 (教育) 、課外活動、語言學校、親子教育（兒童和親子教育） 、個人發展（個人身分） 、國際學校（小學和中學教育） 、數位攝影（攝影） 或設計（設計）",名單
"28-55 / 台中市區 / 金融時事媒體
",原潮APT,差,"28-55 / 台中市區 / 金融時事媒體
-勤美綠園道（+6 公里）, 中央公園 Taichung Central Park（+6 公里）
-新聞媒體（新聞服務） 、電視聯播網、時事（政治） 、網絡報紙（媒體刊物） 、 YouTube（串流服務） 、社群媒體（網路媒體） 、金融服務（商業與財務） 、市場趨勢 (商業和金融業) 、個人理財（銀行業） 、銀行業（金融） 、財經（商業與財務） 、保險（商業與財務） 、商業模式 (商業和金融業) 或商業智慧 (商業和金融業)",名單
30-65 / 竹北東區北區 / 醫生律師,昌禾大苑首席,差,"30-65 / 竹北東區北區 / 醫生律師
-清華大學（+3 公里） ; 台大醫院竹北分院（+3 公里）, 竹北中國醫藥大學（+3 公里） ; 新竹大遠百（+3 公里）
-護理教育（醫學教育） 、醫學院 (高等教育) 、牙科學院 (高等教育) 、高等教育（教育） 、生物學（科學） 、法律與秩序、法律分支 (法律和政府) 、推理小說（娛樂與媒體） 、犯罪心理、科學 (期刊) 、以英語為第二語言或外語、保時捷、賓士（交通工具） 、手錶（飾品配件） 或西裝（服裝）、行業類別：健康照護與醫療服務或法律服務",名單
28-50 / 東區竹北 / 教育生活相關,LUCE VIVA,優,"28-50 / 東區竹北 / 教育生活相關
-台元科技園區（+3 公里） ; 台積電三廠（+5 公里）, 新竹科學園區（+5 公里）
-語言教育、外語、航空公司、工程和理工學院 (教育) 、旅遊（旅遊觀光） 、網路 (電腦運算) 、慢跑（跑步） 、園藝（家居和園藝用品） 、超市（食品零售業者） 、生活用品（家居和園藝用品） 、網路社區、韓國電視劇（電視節目） 、美容（社會觀念） 、美學（哲學） 、商業模式 (商業和金融業) 、護膚保養（化妝品） 或咖啡廳（咖啡）",名單
28-60 / 北區+6K / 商業自營商,LUCE VIVA,可,"28-60 / 北區+6K / 商業自營商
-新竹大遠百（+6 公里）
-591房屋交易網、住宅房地產 (房地產) 、創意創業 (商業和金融業) 、行銷服務和組織 (行銷) 、 Procurement 、會員集點計畫 (優惠券、折扣和購物回饋) 、被動收入（商業與財務） 、個人理財（銀行業） 、商業模式 (商業和金融業) 、電子商務（零售） 、零售業（產業） 、價格、節慶（活動） 、批發（零售） 或業務開發 (商業活動)、行為：小型企業主
0120
-新竹帝國經貿大樓（+3 公里）, 豐邑雲智匯（+3 公里）
",名單
28-55 / 中山松山大安 / 科技商務,家悦美(副),優,"28-55 / 中山松山大安 / 科技商務
-松山巨蛋（+3 公里）, 臺北玫瑰園（+3 公里）, 台北萬豪酒店Taipei Marriott Hotel（+3 公里）
-Business networking 、男裝品牌 (服飾) 、女裝品牌 (服飾) 、 Podcast (音樂和音訊串流) 、 LifeStyle Food 、 Professional services 、業務開發 (商業活動) 、 Apple Music 、英式早餐、行動應用程式（軟體） 、健身和保健（健身） 、科技新聞 (新聞服務) 、消費電子產品媒體和內容 (電腦和電子產品) 、生產率或數位媒體（電腦和電子產品）",名單
27-55 / 林口蘆竹 / 教育娛樂寵物,家悦美(主),⠀,"27-55 / 林口蘆竹 / 教育娛樂寵物
-好市多Costco南崁店（+5 公里） ; 昕境廣場（+5 公里）
-親子教育（兒童和親子教育） 、教育資源 (教育) 、學校（教育） 、學習（教育） 、運動（體育運動） 、樂器（樂器） 、以英語為第二語言或外語、休閒娛樂（社會觀念） 、 Spotify（串流服務） 、 YouTube（串流服務） 、音樂和音訊串流 (音樂) 、生活風格 (生活風格內容) 、旅遊景點和活動 (旅遊觀光業) 、 Weekend Getaway 、寵物店（寵物用品） 、狗狗美容（寵物） 、貓糧（寵物用品） 或一般健康 (個人護理)、家長：父母（全部）",訊息
25-55 / 北部中彰 / 軟裝整建,臻富裕,優,"25-55 / 北部中彰 / 軟裝整建
-華山文創（+15 公里） ; 桃園車站（+15 公里） ; 台中中央公園（+15 公里）, 彰化車站（+15 公里）, 大甲車站（+15 公里） ; 竹北高鐵（+15 公里）
-室內設計內容 (設計) 、家務管理和整理 (居家和園藝用品) 、居家用品零售商 (零售) 、生活風格和家務內容 (居家和園藝用品) 、百葉簾、整建（建築業） 、住家翻新 (住家修繕) 、大掃除（清潔服務） 、節慶（活動） 、傢俱（居家裝潢） 或居家飾品 (居家裝潢)",訊息
28-55 / 彰化市 /  傳產公務員,坤辰師大苑,差,"28-55 / 彰化市 /  傳產公務員
-彰化車站（+6 公里）, 大肚橋（+2 公里）
-居家裝修（家居和園藝用品） 、製造業（產業） 、住家修繕（居家裝修） 、保養、維修和操作（建築業） 、物流（商業與財務） 、工廠（製造業） 、機械加工、機器、批發（零售） 、上班族（流行文化） 或社群媒體（網路媒體）、行業類別：教育和圖書館、行政服務、運輸與搬運或安裝與維修服務
0115
-大肚橋（+3 公里）, 彰化車站（+4 公里） ; 快官交流道， Taiwankou, T'Ai-Wan, Taiwan（+3 公里） Changhua",名單
28-55 / 彰市和美 /  育兒寵物,坤辰師大苑,優,"28-55 / 彰市和美 /  育兒寵物
-彰化車站（+5 公里）, 大肚橋（+2 公里） ; 五鮮級鍋物專賣-和美白金店（+3 公里）
-家庭（社會觀念） 、親子教育（兒童和親子教育） 、廚房（家居和園藝用品） 、室內設計（設計） 、現代家具（居家裝潢） 、消費電子產品媒體和內容 (電腦和電子產品) 、幼兒教育（小學和中學教育） 、生活用品（家居和園藝用品） 、運動（體育運動） 、暑假（小學和中學教育） 、草地（園藝） 、任天堂 (遊戲機和相關配件) 、寵物食品（寵物用品） 、寵物（動物） 、貓糧（寵物用品） 或狗狗美容（寵物）
0115
-大肚橋（+3 公里）, 彰化車站（+3 公里）, 彰化果菜市場（+3 公里） ; 五鮮級鍋物專賣-和美白金店（+3 公里）",名單
"30-65 / 台中海線 / 3C興趣
",佳瓚大讚,差,"30-65 / 台中海線 / 3C興趣
-沙鹿國小（+10 公里）
-消費電子產品媒體和內容 (電腦和電子產品) 、電腦 (電腦和電子產品) 、科技（電腦和電子產品） 、電競電腦（電腦硬體） 、智慧科技 (消費電子產品) 、 MacBook 、 Apple Watch（消費電子產品） 、 PlayStation（遊戲機） 、任天堂 (遊戲機和相關配件) 、 iPad 、虛擬實境（遊戲） 、戴森、飛利浦、伊萊克斯、三星電子（消費電子產品） 、房屋廣告和入口網站 (網站) 或 591房屋交易網",名單
28-45 / 北屯北區東區 / 製造業戶外運動,原潮APT,差,"28-45 / 北屯北區東區 / 製造業戶外運動
-洲際棒球場（+3 公里）, 太原車站（+3 公里）, 精武車站（+3 公里）, 中友百貨（+3 公里）
-納斯達克100指數、道瓊斯工業平均指數、標準普爾500指數、特斯拉汽車（交通工具） 、電動車（交通工具） 、投資管理（投資） 、貿易（經濟） 、金融市場（投資） 、智慧科技 (消費電子產品) 、科技新聞 (新聞服務) 、穿戴式科技（消費電子產品） 、羽球 (球拍類運動) 、健身（健身） 、慢跑（跑步） 、製造生產服務和組織 (製造業) 或工業工程 (工程)",名單
30-60 /  北屯北區東區 / 建築工業裝潢,原潮APT,差,"30-60 /  北屯北區東區 / 建築工業裝潢
-洲際棒球場（+3 公里）, 太原車站（+3 公里）, 精武車站（+3 公里）, 中友百貨（+3 公里）
-整建（建築業） 、住家翻新 (住家修繕) 、房屋油漆工和裝修師 (興建和維修) 、住家修繕（居家裝修） 、住宅興建（建築業） 、建築業（產業） 、土木工程（工程） 、木工 (興建和維修) 、結構工程、居家風格和類型 (房地產) 、居家用品零售商 (零售) 、平鋪磚瓦、地板（工業材料和設備） 、技術員或壁紙、行業類別：建築與工程",名單
30-60 / 台1沿線 / 警消防身,華偉知見,差,"30-60 / 台1沿線 / 警消防身
-中科公園（+3 公里）, 麥當勞清水店（+4 公里）, 龍井車站（+4 公里）, 7-11菁埔門市（+4 公里）, 中華路一段208號， 台中市（+4 公里） Taichung
-災害管理、政府（政府機構） 、國土安全、資訊安全（電腦和電子產品） 、跆拳道、柔道、武術（體育運動） 、綜合格鬥（武術） 、健身（健身） 、保全、政府機關概念和作法 (法律和政府) 或汽車行照和法規 (政府機構), 行業類別：保護服務、政府員工（全球） 或軍事（全球）",訊息
28-55 / 大林新港斗南 / 農企業,中祐雅苑,優,"28-55 / 大林新港斗南 / 農企業
-新港老街（+5 公里） ; 大埔美園區（+5 公里）, 嘉義縣大林鎮（+5 公里） ; 斗南車站（+5 公里）
-農業新聞和內容 (農業) 、農業服務和組織 (產業) 、肥料（農業） 、農業機械（農業） 、有機農業（農業） 、農夫市集（食品零售業者） 、出口貿易、批發（零售） 、物流（商業與財務） 、園藝（農業） 、天氣預報、政府機關概念和作法 (法律和政府) 、溫室、食品加工、中式料理（美食和餐飲） 、食品保存、生物技術、住宅區（房地產） 或連棟住宅（建築）
0203
-民雄車站（+3 公里）, 新港老街（+3 公里） ; 嘉義縣大林鎮（+5 公里） ; 南笨港休閒農業區（+3 公里）, 斗南車站（+3 公里）
+田地 (農業) 、農企業（農業） 或園藝（戶外活動）",訊息
28-50 / 草屯霧峰大里 / 工業成家,水琉璃,差,"28-50 / 草屯霧峰大里 / 工業成家
-南崗工業區（+3 公里）, 霧峰健體中心（+5 公里） ; 大里一交流道， Taiwankou, T'Ai-Wan, Taiwan（+3 公里） Changhua; 草屯炎峰國小（+5 公里）
-隨選影片 (影片串流服務) 、技術員、聯結車（交通工具） 、汽車（交通工具） 、工廠（製造業） 、材料科學、真空包裝、能源效率（能源與公用事業） 、製造生產服務和組織 (製造業) 、建築工程、學徒、結構工程、紡織品（工藝用品） 、婚姻（婚禮） 、教育（社會觀念） 或 591房屋交易網, 行業類別：運輸與搬運或安裝與維修服務",訊息
30-60 / 十期東區 / 長輩興趣,大興家園,差,"30-60 / 十期東區 / 長輩興趣
-太原車站（+3 公里）, 頭家厝菜市場（+3 公里）, 精武路（+3 公里）
-全價值營養、天然食品（美食和餐飲） 、純素營養（飲食） 、健康的習慣 (生活風格內容) 、農業新聞和內容 (農業) 、觀鳥、旅行社和預訂 (旅遊觀光業) 、膽固醇（科學） 、魚油、中式料理（美食和餐飲） 、簡餐館（餐廳） 、節慶（活動） 、健康食品 (食物和飲品) 、茶葉品牌 (食物和飲品) 、釣魚（戶外活動） 或健行和露營 (戶外活動)",訊息
"25-45 / 中科大雅 / 電玩運動股票
",中科峇里島17,⠀,"25-45 / 中科大雅 / 電玩運動股票
大雅公園（+3 公里）, 台中科技園區（+3 公里）
-有氧運動 (健身) 、健身（健身） 、羽球 (球拍類運動) 、電玩遊戲（遊戲） 、 PlayStation（遊戲機） 、超級馬利奧系列、薩爾達傳說、動作遊戲 (電玩遊戲) 、英雄聯盟（電玩遊戲） 、收藏用玩具 (玩具) 、股票市場（投資） 、證券（金融） 、股市指數 (投資) 或電玩遊戲網路媒體 (電玩遊戲)",訊息
"28-55 / 竹北竹南科 / 程式運動電玩
",八德盛景,優,"28-55 / 竹北竹南科 / 程式運動電玩
-新竹科學園區（+5 公里）, 新竹系統交流道（+5 公里）, 竹南科學園區（+5 公里）
-基於組件的軟體工程、程式語言（計算） 、開放原始碼軟體、 PHP 、科技新聞 (新聞服務) 、 Java 、有氧運動 (健身) 、健身（體育運動） 、羽球 (球拍類運動) 、電玩遊戲（遊戲） 、 PlayStation（遊戲機） 、超級馬利奧系列、薩爾達傳說、電玩遊戲網路媒體 (電玩遊戲) 或收藏用玩具 (玩具)
0306
+科技傳播學、馬拉松 (跑步) 、玩命關頭或手機遊戲（電玩遊戲）",訊息
35-65 / 中北部 / 退休度假興趣,自然紅屋,優,"35-65 / 中北部 / 退休度假興趣
-臺北車站（+20 公里） ; 台中中央公園（+20 公里）, FAMWOOD 自然紅屋（+20 公里） ; 彰化員林（+20 公里） ; 竹北高鐵（+20 公里）
-Outdoor Living 、 Prefabricated home 、居家風格和類型 (房地產) 、度假屋（住宿） 、庭院家具（居家裝潢） 、農家樂、日式旅館、度假屋出租（住宿） 、退休規劃（銀行業） 、退休社區（房地產） 、觀鳥、健行和露營 (戶外活動) 或水族飼養",名單
28-50 / 東區竹北 / 銀行證券成家,LUCE VIVA,差,"28-50 / 東區竹北 / 銀行證券成家
-台元科技園區（+3 公里） ; 元大證券竹科分公司（+5 公里）, 台北富邦新竹分行（+5 公里）
-銀行業（金融） 、零售銀行業務（銀行業） 、金融服務（商業與財務） 、個人理財（銀行業） 、財務規劃（投資） 、信用卡（借貸） 、被動收入（商業與財務） 、證券（金融） 、收入（商業與財務） 、業務開發 (商業活動) 、婚禮網站和部落格 (網站) 、婚紗（婚禮） 、婚宴（婚禮） 或嬰幼兒和孕婦用品店 (零售)",名單
28-50 / 東區竹北 / 工程師汽車,LUCE VIVA,優,"28-50 / 東區竹北 / 工程師汽車
-台元科技園區（+3 公里） ; 台積電三廠（+5 公里）, 新竹科學園區（+5 公里）
-Python（程式語言） 、軟體工程（資訊技術） 、程式語言（計算） 、 C語言、軟體開發（軟體） 、行動應用程式（軟體） 、開放原始碼軟體、電動車（交通工具） 、特斯拉汽車（交通工具） 、油電混合車（交通工具） 、洗車 (汽車零件和服務) 、汽車美容（交通工具） 或汽車保養（交通工具）、行業類別：資訊科技和技術服務
0127
+汽車維修廠（交通工具） 、鍍膜、油電混合動力車（交通工具） 、改裝車（交通工具） 、露營車 (旅遊觀光) 或自訂車款（交通工具）, 行業類別：資訊科技和技術服務",名單
,原潮APT,⠀,"-洲際棒球場（+4 公里）, 潭子觀音媽祖廟（+4 公里）, 肥佬闆複合超市（+4 公里）",
"35-55 / 大台中 / 親子娛樂
",樂天保齡球,⠀,"35-55 / 大台中 / 親子娛樂
-迪卡農北屯店（+5 公里）, 勤美綠園道-市民廣場（+5 公里）, 雅環保齡球館（+5 公里）, 大魯閣保齡球棒壘球 新時代館（+5 公里）
-保齡球、撞球、休閒娛樂（社會觀念） 、親子教育（兒童和親子教育） 、主題樂園（休閒） 、樂高（玩具） 、公園、運動類遊戲 (電玩遊戲) 、 Instagram（社群媒體） 、愛奇藝、假期（活動） 或遊樂場
0114
+課外活動、運動（體育運動） 、兒童活動 (興趣和休閒活動) 、主題樂園（休閒） 或球類運動 (體育運動)",訊息
25-55 / 北部中彰 / 設計建築業,臻富裕,⠀,"25-55 / 北部中彰 / 設計建築業
-華山文創（+15 公里） ; 桃園車站（+15 公里） ; 彰化車站（+15 公里）, 大甲車站（+15 公里）, 台中中央公園（+15 公里） ; 竹北高鐵（+15 公里）
-整建（建築業） 、百葉簾、建築工程、住宅興建（建築業） 、室內設計（設計） 、居家裝潢零售商 (零售) 、建材（工業材料和設備） 、建築服務和組織 (產業) 、設計（設計） 、美學（哲學） 、北歐風設計（建築） 或建築媒體 (設計), 行業類別：建築與工程、安裝與維修服務或建築與採石",訊息
30-65 / 清水 / 軍公教行政會計,佳瓚大讚,差,"30-65 / 清水 / 軍公教行政會計(FB)
-臺中市港區藝術中心（+4 公里）
-教育學（教育） 、註冊會計師、財務會計（商業與財務） 、政策、社區議題（法律與政府） 、政府機關概念和作法 (法律和政府) 、財政預算案或時事（政治）、行業類別：行政服務、政府員工（全球） 、軍事（全球） 、保護服務或教育和圖書館",名單
30-60 / 西屯中科 / 傳產新婚成家(IG),佳瓚大讚,差,"30-60 / 西屯中科 / 傳產新婚成家(IG)
-中清交流道（+2 公里）, 裕元花園酒店（+2 公里）, 中科路， 台中市（+3 公里） Taichung
-婚宴（婚禮） 、首次購房者（房地產） 、親子教育（兒童和親子教育） 、 591房屋交易網、化學工程、食品產業、婚紗攝影（攝影） 、代工生產、紡織品（工藝用品） 、電子工程、工業工程 (工程) 、印刷（出版） 或製造生產服務和組織 (製造業)",名單
30-60 /  北屯洲際 / 私校藝文教育,原潮APT,差,"30-60 /  北屯洲際 / 私校藝文教育
-洲際棒球場（+3 公里）, 太原車站（+3 公里）
-國際學校（小學和中學教育） 、語言教育、私立學校（教育） 、基本英語、蒙台梭利教育法、鋼琴、游泳（水上運動） 、小提琴、課外活動、藝術和音樂（藝術） 、繪畫（視覺藝術） 、財經（商業與財務） 或電動車（交通工具）",名單
28-55 / 潭子 / 加工出口(17-02),原潮APT,差,"28-55 / 潭子 / 加工出口(17-02)
-頭家厝火車站（+2 公里）, 潭子加工出口區（+3 公里）
-工廠（製造業） 、工作坊（製造業） 、重型設備（工業材料和設備） 、食品加工、出口貿易、運輸（交通運輸） 、機械加工、道路運輸、工具機 (興建和維修) 、焊接或配送（商務）、行業類別：製造、中型企業對企業（B2B）企業員工（200 - 500 名員工） 、小型企業對企業（B2B）企業員工（10-200 名員工） 或運輸與搬運",名單
28-55 / 西屯水湳 / 金融業(17-02),原潮APT,可,"28-55 / 西屯水湳 / 金融業(17-02)
-水湳經貿園區（+2 公里）, 中央公園 Taichung Central Park（+2 公里）
-個人理財（銀行業） 、金融服務（商業與財務） 、保險（商業與財務） 、時事（政治） 、銀行業（金融） 、新聞媒體（新聞服務） 、財務規劃（投資） 、資產管理 (商業和金融業) 、財產保險、投資報酬率（投資） 、儲蓄（銀行業） 或 Business networking",名單
"30-45 /  北區中區 / 服務業自營商
",原潮APT,差,"30-45 /  北區中區 / 服務業自營商
-臺中巿第二巿場（+2 公里）, 永興街（+2 公里）
-商業模式 (商業和金融業) 、創意創業 (商業和金融業) 、零售業（產業） 、銷售時點情報系統、供應鏈、批發（零售） 、財務會計（商業與財務） 、僱傭（工作機會） 、一般保險 (保險) 、餐旅業（美食和餐飲） 、餐飲業（餐飲） 、食材 (食物和飲品) 或資金、行為：小型企業主、任職公司：自営業(個人事業主)",名單
"30-60 / 太平東區 / 技術型職業
",原潮APT,差,"30-60 / 太平東區 / 技術型職業
-太平工業區（+3 公里）, 旱溪街， 台中市（+2 公里） Taichung
-製造生產服務和組織 (製造業) 、工廠（製造業） 、技術員、電動工具 (興建和維修) 、生物可分解塑膠、卡車（交通工具） 、五金行（零售業者） 、土木工程（工程） 、房屋油漆工和裝修師 (興建和維修) 、平鋪磚瓦、代工生產、木工 (興建和維修) 、真空包裝、配電系統或焊接、行業類別：安裝與維修服務或建築與工程",名單
35-60 / 北屯 / 長輩置產(FB),原潮APT,差,"35-60 / 北屯 / 長輩置產(FB)
-松竹市場（+2 公里）, 四張犁農村公園（+2 公里）
-營養素、肥皂劇 (電視節目) 、糕點（烘焙食品） 、文化歷史 (藝術和文化) 、退休規劃（銀行業） 、綜藝節目 (表演藝術) 、麻將、園藝（家居和園藝用品） 、遊程承攬業、登山（爬山） 、古蹟、退休保險、紀念物保存、不動產（房地產） 、跟團旅行 (旅遊觀光) 、旅遊景點和活動 (旅遊觀光業) 、茶葉品牌 (食物和飲品) 或保健內容 (個人護理)",名單
30-60 / 沙鹿 / 直銷業務,佳瓚大讚,差,"30-60 / 沙鹿 / 直銷業務
-台灣大道七段（+3 公里）
-直銷、聯盟行銷（行銷） 、被動收入（商業與財務） 、 Business networking 、居家事業（商業與財務） 、商機 (商業和金融業) 、心理勵志（心理學） 、電子郵件行銷（行銷） 、網紅行銷 (行銷) 、開發潛在顧客 (行銷) 、直效營銷或汽車（交通工具）、行為：通勤者、行業類別：業務",名單
"28-55 / 中山 / 商務貿易
",家悦美(副),優,"28-55 / 中山 / 商務貿易
-汐止五股高架段（+3 公里）, 台北市進出口商業同業公會（+3 公里）
-Business networking 、業務開發 (商業活動) 、國際貿易、進口（郵遞） 、出口貿易、 B2B（商業與財務） 、銷售管理 (商業活動) 、 Procurement 、商業（商業與財務） 、物流（商業與財務） 、供應鏈、經銷（商業） 、倉儲業（產業） 或企業家（商業與財務）
0130
+民族東路， 台北市（+3 公里） Taipei
+外語、價格、運輸和物流服務和組織 (商業和金融) 、開發潛在顧客 (行銷) 或商機 (商業和金融業)",名單
